longitude	latitude	value
106.3091660	29.2583332	1.0000000
106.3099976	29.2583332	1.0000000
106.3108368	29.2583332	1.0000000
106.3116684	29.2583332	1.0000000
106.3125000	29.2583332	1.0000000
106.3133316	29.2583332	1.0000000
106.3141632	29.2583332	1.0000000
106.3150024	29.2583332	1.0000000
106.3158340	29.2583332	1.0000000
106.3174973	29.2583332	1.0000000
106.2533340	29.2591667	1.0000000
106.2541656	29.2591667	1.0000000
106.2549973	29.2591667	1.0000000
106.2558365	29.2591667	1.0000000
106.2566681	29.2591667	1.0000000
106.2574997	29.2591667	1.0000000
106.2883301	29.2591667	1.0000000
106.2891693	29.2591667	1.0000000
106.2900009	29.2591667	1.0000000
106.2908325	29.2591667	1.0000000
106.2916641	29.2591667	1.0000000
106.2925034	29.2591667	1.0000000
106.2933350	29.2591667	1.0000000
106.2941666	29.2591667	1.0000000
106.2949982	29.2591667	1.0000000
106.2958298	29.2591667	1.0000000
106.2966690	29.2591667	1.0000000
106.2983322	29.2591667	1.0000000
106.3000031	29.2591667	1.0000000
106.3024979	29.2591667	1.0000000
106.3033371	29.2591667	1.0000000
106.3050003	29.2591667	1.0000000
106.3058319	29.2591667	1.0000000
106.3066635	29.2591667	1.0000000
106.3075027	29.2591667	1.0000000
106.3083344	29.2591667	1.0000000
106.3091660	29.2591667	1.0000000
106.3099976	29.2591667	1.0000000
106.3108368	29.2591667	1.0000000
106.3116684	29.2591667	1.0000000
106.3125000	29.2591667	1.0000000
106.3133316	29.2591667	1.0000000
106.3141632	29.2591667	1.0000000
106.3150024	29.2591667	1.0000000
106.3158340	29.2591667	1.0000000
106.3166656	29.2591667	1.0000000
106.3174973	29.2591667	1.0000000
106.3183365	29.2591667	1.0000000
106.3191681	29.2591667	1.0000000
106.3199997	29.2591667	1.0000000
106.2525024	29.2600002	1.0000000
106.2533340	29.2600002	1.0000000
106.2541656	29.2600002	1.0000000
106.2549973	29.2600002	1.0000000
106.2558365	29.2600002	1.0000000
106.2566681	29.2600002	1.0000000
106.2574997	29.2600002	1.0000000
106.2883301	29.2600002	1.0000000
106.2891693	29.2600002	1.0000000
106.2900009	29.2600002	1.0000000
106.2908325	29.2600002	1.0000000
106.2916641	29.2600002	1.0000000
106.2925034	29.2600002	1.0000000
106.2933350	29.2600002	1.0000000
106.2941666	29.2600002	1.0000000
106.3024979	29.2600002	1.0000000
106.3083344	29.2600002	1.0000000
106.3099976	29.2600002	1.0000000
106.3108368	29.2600002	1.0000000
106.3116684	29.2600002	1.0000000
106.3125000	29.2600002	1.0000000
106.3133316	29.2600002	1.0000000
106.3141632	29.2600002	1.0000000
106.3150024	29.2600002	1.0000000
106.3158340	29.2600002	1.0000000
106.3166656	29.2600002	1.0000000
106.3174973	29.2600002	1.0000000
106.3183365	29.2600002	1.0000000
106.3191681	29.2600002	1.0000000
106.3199997	29.2600002	1.0000000
106.3208313	29.2600002	1.0000000
106.3216629	29.2600002	1.0000000
106.3225021	29.2600002	1.0000000
106.3233337	29.2600002	1.0000000
106.2525024	29.2608337	1.0000000
106.2533340	29.2608337	1.0000000
106.2541656	29.2608337	1.0000000
106.2549973	29.2608337	1.0000000
106.2558365	29.2608337	1.0000000
106.2883301	29.2608337	1.0000000
106.2891693	29.2608337	1.0000000
106.2900009	29.2608337	1.0000000
106.2908325	29.2608337	1.0000000
106.2916641	29.2608337	1.0000000
106.2925034	29.2608337	1.0000000
106.2933350	29.2608337	1.0000000
106.3116684	29.2608337	1.0000000
106.3133316	29.2608337	1.0000000
106.3141632	29.2608337	1.0000000
106.3150024	29.2608337	1.0000000
106.3158340	29.2608337	1.0000000
106.3166656	29.2608337	1.0000000
106.3174973	29.2608337	1.0000000
106.3183365	29.2608337	1.0000000
106.3191681	29.2608337	1.0000000
106.3199997	29.2608337	1.0000000
106.3208313	29.2608337	1.0000000
106.3216629	29.2608337	1.0000000
106.3225021	29.2608337	1.0000000
106.3233337	29.2608337	1.0000000
106.3241653	29.2608337	1.0000000
106.3249969	29.2608337	1.0000000
106.2516632	29.2616673	1.0000000
106.2525024	29.2616673	1.0000000
106.2533340	29.2616673	1.0000000
106.2541656	29.2616673	1.0000000
106.2549973	29.2616673	1.0000000
106.2883301	29.2616673	1.0000000
106.2891693	29.2616673	1.0000000
106.2900009	29.2616673	1.0000000
106.2908325	29.2616673	1.0000000
106.2916641	29.2616673	1.0000000
106.2925034	29.2616673	1.0000000
106.3150024	29.2616673	1.0000000
106.3158340	29.2616673	1.0000000
106.3166656	29.2616673	1.0000000
106.3174973	29.2616673	1.0000000
106.3183365	29.2616673	1.0000000
106.3191681	29.2616673	1.0000000
106.3199997	29.2616673	1.0000000
106.3208313	29.2616673	1.0000000
106.3216629	29.2616673	1.0000000
106.3225021	29.2616673	1.0000000
106.3233337	29.2616673	1.0000000
106.3241653	29.2616673	1.0000000
106.3249969	29.2616673	1.0000000
106.3258362	29.2616673	1.0000000
106.3266678	29.2616673	1.0000000
106.3274994	29.2616673	1.0000000
106.3291702	29.2616673	1.0000000
106.2516632	29.2625008	1.0000000
106.2525024	29.2625008	1.0000000
106.2533340	29.2625008	1.0000000
106.2541656	29.2625008	1.0000000
106.2549973	29.2625008	1.0000000
106.2866669	29.2625008	1.0000000
106.2874985	29.2625008	1.0000000
106.2883301	29.2625008	1.0000000
106.2891693	29.2625008	1.0000000
106.2900009	29.2625008	1.0000000
106.2908325	29.2625008	1.0000000
106.2916641	29.2625008	1.0000000
106.2925034	29.2625008	1.0000000
106.3183365	29.2625008	1.0000000
106.3191681	29.2625008	1.0000000
106.3199997	29.2625008	1.0000000
106.3208313	29.2625008	1.0000000
106.3216629	29.2625008	1.0000000
106.3225021	29.2625008	1.0000000
106.3233337	29.2625008	1.0000000
106.3241653	29.2625008	1.0000000
106.3249969	29.2625008	1.0000000
106.3258362	29.2625008	1.0000000
106.3266678	29.2625008	1.0000000
106.3274994	29.2625008	1.0000000
106.3283310	29.2625008	1.0000000
106.3291702	29.2625008	1.0000000
106.3300018	29.2625008	1.0000000
106.3308334	29.2625008	1.0000000
106.3316650	29.2625008	1.0000000
106.2508316	29.2633343	1.0000000
106.2516632	29.2633343	1.0000000
106.2525024	29.2633343	1.0000000
106.2533340	29.2633343	1.0000000
106.2541656	29.2633343	1.0000000
106.2883301	29.2633343	1.0000000
106.2891693	29.2633343	1.0000000
106.2900009	29.2633343	1.0000000
106.2908325	29.2633343	1.0000000
106.2916641	29.2633343	1.0000000
106.2925034	29.2633343	1.0000000
106.3199997	29.2633343	1.0000000
106.3208313	29.2633343	1.0000000
106.3216629	29.2633343	1.0000000
106.3225021	29.2633343	1.0000000
106.3233337	29.2633343	1.0000000
106.3241653	29.2633343	1.0000000
106.3249969	29.2633343	1.0000000
106.3258362	29.2633343	1.0000000
106.3266678	29.2633343	1.0000000
106.3274994	29.2633343	1.0000000
106.3283310	29.2633343	1.0000000
106.3291702	29.2633343	1.0000000
106.3300018	29.2633343	1.0000000
106.3308334	29.2633343	1.0000000
106.3316650	29.2633343	1.0000000
106.3324966	29.2633343	1.0000000
106.3349991	29.2633343	1.0000000
106.2500000	29.2641659	1.0000000
106.2508316	29.2641659	1.0000000
106.2516632	29.2641659	1.0000000
106.2525024	29.2641659	1.0000000
106.2533340	29.2641659	1.0000000
106.2883301	29.2641659	1.0000000
106.2891693	29.2641659	1.0000000
106.2900009	29.2641659	1.0000000
106.2908325	29.2641659	1.0000000
106.2916641	29.2641659	1.0000000
106.2925034	29.2641659	1.0000000
106.3233337	29.2641659	1.0000000
106.3241653	29.2641659	1.0000000
106.3249969	29.2641659	1.0000000
106.3258362	29.2641659	1.0000000
106.3266678	29.2641659	1.0000000
106.3274994	29.2641659	1.0000000
106.3283310	29.2641659	1.0000000
106.3291702	29.2641659	1.0000000
106.3300018	29.2641659	1.0000000
106.3308334	29.2641659	1.0000000
106.3316650	29.2641659	1.0000000
106.3333359	29.2641659	1.0000000
106.3349991	29.2641659	1.0000000
106.3358307	29.2641659	1.0000000
106.2491684	29.2649994	1.0000000
106.2500000	29.2649994	1.0000000
106.2508316	29.2649994	1.0000000
106.2516632	29.2649994	1.0000000
106.2883301	29.2649994	1.0000000
106.2891693	29.2649994	1.0000000
106.2900009	29.2649994	1.0000000
106.2908325	29.2649994	1.0000000
106.2916641	29.2649994	1.0000000
106.3249969	29.2649994	1.0000000
106.3258362	29.2649994	1.0000000
106.3266678	29.2649994	1.0000000
106.3274994	29.2649994	1.0000000
106.3283310	29.2649994	1.0000000
106.3291702	29.2649994	1.0000000
106.3300018	29.2649994	1.0000000
106.3308334	29.2649994	1.0000000
106.3316650	29.2649994	1.0000000
106.3324966	29.2649994	1.0000000
106.3333359	29.2649994	1.0000000
106.3341675	29.2649994	1.0000000
106.2483368	29.2658329	1.0000000
106.2491684	29.2658329	1.0000000
106.2500000	29.2658329	1.0000000
106.2508316	29.2658329	1.0000000
106.2883301	29.2658329	1.0000000
106.2891693	29.2658329	1.0000000
106.2900009	29.2658329	1.0000000
106.2908325	29.2658329	1.0000000
106.2916641	29.2658329	1.0000000
106.3249969	29.2658329	1.0000000
106.3274994	29.2658329	1.0000000
106.3283310	29.2658329	1.0000000
106.3291702	29.2658329	1.0000000
106.3300018	29.2658329	1.0000000
106.3308334	29.2658329	1.0000000
106.3316650	29.2658329	1.0000000
106.3324966	29.2658329	1.0000000
106.3333359	29.2658329	1.0000000
106.3341675	29.2658329	1.0000000
106.2466660	29.2666664	1.0000000
106.2474976	29.2666664	1.0000000
106.2483368	29.2666664	1.0000000
106.2491684	29.2666664	1.0000000
106.2500000	29.2666664	1.0000000
106.2874985	29.2666664	1.0000000
106.2883301	29.2666664	1.0000000
106.2891693	29.2666664	1.0000000
106.2900009	29.2666664	1.0000000
106.2908325	29.2666664	1.0000000
106.3283310	29.2666664	1.0000000
106.3291702	29.2666664	1.0000000
106.3300018	29.2666664	1.0000000
106.3308334	29.2666664	1.0000000
106.3316650	29.2666664	1.0000000
106.3324966	29.2666664	1.0000000
106.3333359	29.2666664	1.0000000
106.3341675	29.2666664	1.0000000
106.3366699	29.2666664	1.0000000
106.2375031	29.2674999	1.0000000
106.2383347	29.2674999	1.0000000
106.2458344	29.2674999	1.0000000
106.2466660	29.2674999	1.0000000
106.2474976	29.2674999	1.0000000
106.2483368	29.2674999	1.0000000
106.2491684	29.2674999	1.0000000
106.2883301	29.2674999	1.0000000
106.2891693	29.2674999	1.0000000
106.2900009	29.2674999	1.0000000
106.2908325	29.2674999	1.0000000
106.2916641	29.2674999	1.0000000
106.3291702	29.2674999	1.0000000
106.3300018	29.2674999	1.0000000
106.3308334	29.2674999	1.0000000
106.3316650	29.2674999	1.0000000
106.3324966	29.2674999	1.0000000
106.3333359	29.2674999	1.0000000
106.3341675	29.2674999	1.0000000
106.3349991	29.2674999	1.0000000
106.2366638	29.2683334	1.0000000
106.2375031	29.2683334	1.0000000
106.2450027	29.2683334	1.0000000
106.2458344	29.2683334	1.0000000
106.2466660	29.2683334	1.0000000
106.2474976	29.2683334	1.0000000
106.2483368	29.2683334	1.0000000
106.2866669	29.2683334	1.0000000
106.2874985	29.2683334	1.0000000
106.2883301	29.2683334	1.0000000
106.2891693	29.2683334	1.0000000
106.2900009	29.2683334	1.0000000
106.2908325	29.2683334	1.0000000
106.3316650	29.2683334	1.0000000
106.3324966	29.2683334	1.0000000
106.3333359	29.2683334	1.0000000
106.3341675	29.2683334	1.0000000
106.3349991	29.2683334	1.0000000
106.3358307	29.2683334	1.0000000
106.3391647	29.2683334	1.0000000
106.3399963	29.2683334	1.0000000
106.3408356	29.2683334	1.0000000
107.8850021	29.2683334	1.0000000
106.2366638	29.2691669	1.0000000
106.2375031	29.2691669	1.0000000
106.2441635	29.2691669	1.0000000
106.2450027	29.2691669	1.0000000
106.2458344	29.2691669	1.0000000
106.2466660	29.2691669	1.0000000
106.2474976	29.2691669	1.0000000
106.2866669	29.2691669	1.0000000
106.2874985	29.2691669	1.0000000
106.2883301	29.2691669	1.0000000
106.2891693	29.2691669	1.0000000
106.2900009	29.2691669	1.0000000
106.3333359	29.2691669	1.0000000
106.3341675	29.2691669	1.0000000
106.3349991	29.2691669	1.0000000
106.3358307	29.2691669	1.0000000
106.3366699	29.2691669	1.0000000
106.3375015	29.2691669	1.0000000
106.3383331	29.2691669	1.0000000
106.3399963	29.2691669	1.0000000
106.2358322	29.2700005	1.0000000
106.2366638	29.2700005	1.0000000
106.2433319	29.2700005	1.0000000
106.2441635	29.2700005	1.0000000
106.2450027	29.2700005	1.0000000
106.2458344	29.2700005	1.0000000
106.2466660	29.2700005	1.0000000
106.2474976	29.2700005	1.0000000
106.2858353	29.2700005	1.0000000
106.2866669	29.2700005	1.0000000
106.2874985	29.2700005	1.0000000
106.2883301	29.2700005	1.0000000
106.2891693	29.2700005	1.0000000
106.2900009	29.2700005	1.0000000
106.3341675	29.2700005	1.0000000
106.3349991	29.2700005	1.0000000
106.3358307	29.2700005	1.0000000
106.3366699	29.2700005	1.0000000
106.3375015	29.2700005	1.0000000
106.3383331	29.2700005	1.0000000
106.3399963	29.2700005	1.0000000
106.3408356	29.2700005	1.0000000
106.3899994	29.2700005	1.0000000
107.8441696	29.2700005	1.0000000
106.2358322	29.2708340	1.0000000
106.2366638	29.2708340	1.0000000
106.2425003	29.2708340	1.0000000
106.2433319	29.2708340	1.0000000
106.2441635	29.2708340	1.0000000
106.2450027	29.2708340	1.0000000
106.2458344	29.2708340	1.0000000
106.2466660	29.2708340	1.0000000
106.2850037	29.2708340	1.0000000
106.2858353	29.2708340	1.0000000
106.2866669	29.2708340	1.0000000
106.2874985	29.2708340	1.0000000
106.2883301	29.2708340	1.0000000
106.2891693	29.2708340	1.0000000
106.3349991	29.2708340	1.0000000
106.3358307	29.2708340	1.0000000
106.3366699	29.2708340	1.0000000
106.3375015	29.2708340	1.0000000
106.3383331	29.2708340	1.0000000
106.3391647	29.2708340	1.0000000
106.3399963	29.2708340	1.0000000
106.3458328	29.2708340	1.0000000
106.2350006	29.2716675	1.0000000
106.2358322	29.2716675	1.0000000
106.2416687	29.2716675	1.0000000
106.2425003	29.2716675	1.0000000
106.2433319	29.2716675	1.0000000
106.2441635	29.2716675	1.0000000
106.2450027	29.2716675	1.0000000
106.2458344	29.2716675	1.0000000
106.2858353	29.2716675	1.0000000
106.2866669	29.2716675	1.0000000
106.2874985	29.2716675	1.0000000
106.2883301	29.2716675	1.0000000
106.3366699	29.2716675	1.0000000
106.3375015	29.2716675	1.0000000
106.3383331	29.2716675	1.0000000
106.3391647	29.2716675	1.0000000
106.3399963	29.2716675	1.0000000
106.3408356	29.2716675	1.0000000
106.2350006	29.2724991	1.0000000
106.2358322	29.2724991	1.0000000
106.2408371	29.2724991	1.0000000
106.2416687	29.2724991	1.0000000
106.2425003	29.2724991	1.0000000
106.2433319	29.2724991	1.0000000
106.2441635	29.2724991	1.0000000
106.2450027	29.2724991	1.0000000
106.2833328	29.2724991	1.0000000
106.2850037	29.2724991	1.0000000
106.2858353	29.2724991	1.0000000
106.2866669	29.2724991	1.0000000
106.2874985	29.2724991	1.0000000
106.2883301	29.2724991	1.0000000
106.3375015	29.2724991	1.0000000
106.3383331	29.2724991	1.0000000
106.3391647	29.2724991	1.0000000
106.3399963	29.2724991	1.0000000
106.3408356	29.2724991	1.0000000
106.3416672	29.2724991	1.0000000
106.3424988	29.2724991	1.0000000
106.2350006	29.2733326	1.0000000
106.2358322	29.2733326	1.0000000
106.2399979	29.2733326	1.0000000
106.2408371	29.2733326	1.0000000
106.2416687	29.2733326	1.0000000
106.2425003	29.2733326	1.0000000
106.2433319	29.2733326	1.0000000
106.2441635	29.2733326	1.0000000
106.2450027	29.2733326	1.0000000
106.2850037	29.2733326	1.0000000
106.2858353	29.2733326	1.0000000
106.2866669	29.2733326	1.0000000
106.2874985	29.2733326	1.0000000
106.2883301	29.2733326	1.0000000
106.3383331	29.2733326	1.0000000
106.3391647	29.2733326	1.0000000
106.3399963	29.2733326	1.0000000
106.3408356	29.2733326	1.0000000
106.3416672	29.2733326	1.0000000
106.3424988	29.2733326	1.0000000
106.3433304	29.2733326	1.0000000
106.2341690	29.2741661	1.0000000
106.2350006	29.2741661	1.0000000
106.2391663	29.2741661	1.0000000
106.2399979	29.2741661	1.0000000
106.2408371	29.2741661	1.0000000
106.2416687	29.2741661	1.0000000
106.2425003	29.2741661	1.0000000
106.2433319	29.2741661	1.0000000
106.2441635	29.2741661	1.0000000
